quality,interval + next_quality,count,,quality,interval,next_quality,count
minor-seventh,6 major-seventh,4,,minor-seventh,6,major-seventh,4
minor-seventh,5 dominant-13th,36,,minor-seventh,5,dominant-13th,36
minor-seventh,10 major-seventh,29,,minor-seventh,10,major-seventh,29
minor-seventh,5 dominant-ninth,24,,minor-seventh,5,dominant-ninth,24
minor-seventh,1 minor-seventh,30,,minor-seventh,1,minor-seventh,30
minor-seventh,6 dominant-13th,1,,minor-seventh,6,dominant-13th,1
minor-seventh,1 major-seventh,39,,minor-seventh,1,major-seventh,39
minor-seventh,8 minor-seventh,14,,minor-seventh,8,minor-seventh,14
minor-seventh,5 major-seventh,7,,minor-seventh,5,major-seventh,7
minor-seventh,6 dominant,26,,minor-seventh,6,dominant,26
minor-seventh,1 major-sixth,6,,minor-seventh,1,major-sixth,6
minor-seventh,7 major-seventh,12,,minor-seventh,7,major-seventh,12
minor-seventh,5 minor,2,,minor-seventh,5,minor,2
minor-seventh,1 dominant,21,,minor-seventh,1,dominant,21
minor-seventh,0 dominant,11,,minor-seventh,0,dominant,11
minor-seventh,10 minor-sixth,1,,minor-seventh,10,minor-sixth,1
minor-seventh,1 diminished-seventh,32,,minor-seventh,1,diminished-seventh,32
minor-seventh,11 major-seventh,39,,minor-seventh,11,major-seventh,39
minor-seventh,11 dominant-ninth,9,,minor-seventh,11,dominant-ninth,9
minor-seventh,8 dominant,29,,minor-seventh,8,dominant,29
minor-seventh,10 major,6,,minor-seventh,10,major,6
minor-seventh,9 diminished-seventh,6,,minor-seventh,9,diminished-seventh,6
minor-seventh,2 dominant,40,,minor-seventh,2,dominant,40
minor-seventh,6 minor-seventh,9,,minor-seventh,6,minor-seventh,9
minor-seventh,5 suspended-fourth,48,,minor-seventh,5,suspended-fourth,48
minor-seventh,1 minor,3,,minor-seventh,1,minor,3
minor-seventh,3 suspended-fourth,1,,minor-seventh,3,suspended-fourth,1
minor-seventh,0 minor-sixth,18,,minor-seventh,0,minor-sixth,18
minor-seventh,8 minor-sixth,8,,minor-seventh,8,minor-sixth,8
minor-seventh,8 major,3,,minor-seventh,8,major,3
minor-seventh,2 major,4,,minor-seventh,2,major,4
minor-seventh,3 dominant,16,,minor-seventh,3,dominant,16
minor-seventh,8 dominant-ninth,5,,minor-seventh,8,dominant-ninth,5
minor-seventh,5 major,2,,minor-seventh,5,major,2
minor-seventh,8 dominant-13th,10,,minor-seventh,8,dominant-13th,10
minor-seventh,9 dominant,9,,minor-seventh,9,dominant,9
minor-seventh,1 minor-sixth,2,,minor-seventh,1,minor-sixth,2
minor-seventh,11 minor-sixth,4,,minor-seventh,11,minor-sixth,4
minor-seventh,9 minor-11th,2,,minor-seventh,9,minor-11th,2
minor-seventh,10 diminished-seventh,2,,minor-seventh,10,diminished-seventh,2
minor-seventh,1 diminished,4,,minor-seventh,1,diminished,4
minor-seventh,11 dominant-13th,4,,minor-seventh,11,dominant-13th,4
minor-seventh,10 minor,10,,minor-seventh,10,minor,10
minor-seventh,9 major-sixth,2,,minor-seventh,9,major-sixth,2
minor-seventh,7 major,2,,minor-seventh,7,major,2
minor-seventh,1 major,2,,minor-seventh,1,major,2
minor-seventh,8 major-sixth,7,,minor-seventh,8,major-sixth,7
minor-seventh,7 minor-sixth,1,,minor-seventh,7,minor-sixth,1
minor-seventh,0 minor,4,,minor-seventh,0,minor,4
minor-seventh,5 minor-sixth,1,,minor-seventh,5,minor-sixth,1
minor-seventh,1 dominant-13th,3,,minor-seventh,1,dominant-13th,3
minor-seventh,7 major-sixth,2,,minor-seventh,7,major-sixth,2
minor-seventh,6 diminished-seventh,4,,minor-seventh,6,diminished-seventh,4
minor-seventh,2 major-sixth,3,,minor-seventh,2,major-sixth,3
minor-seventh,10 minor-ninth,1,,minor-seventh,10,minor-ninth,1
minor-seventh,8 minor-11th,3,,minor-seventh,8,minor-11th,3
minor-seventh,0 diminished-seventh,2,,minor-seventh,0,diminished-seventh,2
minor-seventh,7 minor,6,,minor-seventh,7,minor,6
minor-seventh,7 diminished-seventh,1,,minor-seventh,7,diminished-seventh,1
minor-seventh,7 dominant-ninth,1,,minor-seventh,7,dominant-ninth,1
minor-seventh,0 major-sixth,1,,minor-seventh,0,major-sixth,1
minor-seventh,4 dominant,2,,minor-seventh,4,dominant,2
minor-seventh,6 dominant-ninth,2,,minor-seventh,6,dominant-ninth,2
minor-seventh,2 diminished-seventh,2,,minor-seventh,2,diminished-seventh,2
minor-seventh,1 suspended-fourth,1,,minor-seventh,1,suspended-fourth,1
minor-seventh,11 minor,4,,minor-seventh,11,minor,4
minor-seventh,2 major-seventh,2,,minor-seventh,2,major-seventh,2
minor-seventh,0 dominant-13th,1,,minor-seventh,0,dominant-13th,1
minor-seventh,10 suspended-fourth,1,,minor-seventh,10,suspended-fourth,1
major,9 minor-seventh,28,,major,9,minor-seventh,28
major,7 dominant,32,,major,7,dominant,32
major,0 major,137,,major,0,major,137
major,0 dominant,24,,major,0,dominant,24
major,8 major-sixth,2,,major,8,major-sixth,2
major,1 major,10,,major,1,major,10
major,11 major,9,,major,11,major,9
major,0 major-ninth,1,,major,0,major-ninth,1
major,7 minor-seventh,5,,major,7,minor-seventh,5
major,0 augmented,9,,major,0,augmented,9
major,10 major,18,,major,10,major,18
major,2 major,16,,major,2,major,16
major,2 minor-seventh,25,,major,2,minor-seventh,25
major,11 minor,10,,major,11,minor,10
major,1 diminished-seventh,15,,major,1,diminished-seventh,15
major,0 major-sixth,13,,major,0,major-sixth,13
major,0 diminished-seventh,2,,major,0,diminished-seventh,2
major,11 minor-seventh,2,,major,11,minor-seventh,2
major,10 minor-seventh,1,,major,10,minor-seventh,1
major,9 dominant,33,,major,9,dominant,33
major,0 minor,6,,major,0,minor,6
major,5 major,43,,major,5,major,43
major,2 dominant,17,,major,2,dominant,17
major,9 minor,9,,major,9,minor,9
major,5 minor,6,,major,5,minor,6
major,5 minor-ninth,1,,major,5,minor-ninth,1
major,3 major-seventh,3,,major,3,major-seventh,3
major,7 major-seventh,3,,major,7,major-seventh,3
major,10 suspended-fourth,1,,major,10,suspended-fourth,1
major,11 dominant,7,,major,11,dominant,7
major,1 dominant,2,,major,1,dominant,2
major,4 minor,2,,major,4,minor,2
major,6 dominant,2,,major,6,dominant,2
major,3 diminished-seventh,4,,major,3,diminished-seventh,4
major,1 major-seventh,7,,major,1,major-seventh,7
major,4 dominant,17,,major,4,dominant,17
major,5 dominant,4,,major,5,dominant,4
major,6 minor-seventh,3,,major,6,minor-seventh,3
major,3 minor-seventh,4,,major,3,minor-seventh,4
major,7 major,18,,major,7,major,18
major,2 minor,9,,major,2,minor,9
major,7 minor,3,,major,7,minor,3
major,9 dominant-13th,2,,major,9,dominant-13th,2
major,1 minor-seventh,3,,major,1,minor-seventh,3
major,0 major-seventh,20,,major,0,major-seventh,20
major,3 dominant,8,,major,3,dominant,8
major,10 dominant,8,,major,10,dominant,8
major,5 minor-sixth,8,,major,5,minor-sixth,8
major,10 major-seventh,9,,major,10,major-seventh,9
major,3 suspended-fourth,2,,major,3,suspended-fourth,2
major,3 dominant-13th,1,,major,3,dominant-13th,1
major,3 major-sixth,1,,major,3,major-sixth,1
major,8 dominant,4,,major,8,dominant,4
major,7 major-sixth,1,,major,7,major-sixth,1
major,7 major-ninth,1,,major,7,major-ninth,1
major,5 major-seventh,1,,major,5,major-seventh,1
major,9 augmented,1,,major,9,augmented,1
major,4 major-sixth,1,,major,4,major-sixth,1
major,11 major-seventh,2,,major,11,major-seventh,2
major,8 major-seventh,3,,major,8,major-seventh,3
major,4 minor-seventh,1,,major,4,minor-seventh,1
major,6 major,3,,major,6,major,3
major,3 major,1,,major,3,major,1
major,2 suspended-fourth,2,,major,2,suspended-fourth,2
major,5 major-sixth,3,,major,5,major-sixth,3
major,8 major,3,,major,8,major,3
major,4 major,2,,major,4,major,2
major,9 major,4,,major,9,major,4
major,9 suspended-fourth,2,,major,9,suspended-fourth,2
major,7 suspended-fourth,2,,major,7,suspended-fourth,2
major,0 minor-seventh,1,,major,0,minor-seventh,1
major,9 minor-sixth,1,,major,9,minor-sixth,1
major,9 minor-11th,1,,major,9,minor-11th,1
major,7 minor-ninth,1,,major,7,minor-ninth,1
major,2 minor-11th,2,,major,2,minor-11th,2
major,7 minor-sixth,1,,major,7,minor-sixth,1
major,6 major-seventh,1,,major,6,major-seventh,1
major,3 minor-sixth,3,,major,3,minor-sixth,3
major,6 dominant-13th,1,,major,6,dominant-13th,1
major,11 major-sixth,2,,major,11,major-sixth,2
major-sixth,0 major-sixth,151,,major-sixth,0,major-sixth,151
major-sixth,9 dominant,66,,major-sixth,9,dominant,66
major-sixth,0 dominant,32,,major-sixth,0,dominant,32
major-sixth,1 diminished,7,,major-sixth,1,diminished,7
major-sixth,0 major-seventh,34,,major-sixth,0,major-seventh,34
major-sixth,2 minor-seventh,81,,major-sixth,2,minor-seventh,81
major-sixth,9 minor-seventh,92,,major-sixth,9,minor-seventh,92
major-sixth,1 minor-seventh,3,,major-sixth,1,minor-seventh,3
major-sixth,1 diminished-seventh,41,,major-sixth,1,diminished-seventh,41
major-sixth,3 diminished-seventh,11,,major-sixth,3,diminished-seventh,11
major-sixth,10 dominant,12,,major-sixth,10,dominant,12
major-sixth,7 major-seventh,2,,major-sixth,7,major-seventh,2
major-sixth,3 dominant,4,,major-sixth,3,dominant,4
major-sixth,2 dominant,24,,major-sixth,2,dominant,24
major-sixth,5 minor-seventh,8,,major-sixth,5,minor-seventh,8
major-sixth,7 minor-seventh,43,,major-sixth,7,minor-seventh,43
major-sixth,5 dominant-ninth,3,,major-sixth,5,dominant-ninth,3
major-sixth,3 major-seventh,1,,major-sixth,3,major-seventh,1
major-sixth,7 major-sixth,11,,major-sixth,7,major-sixth,11
major-sixth,6 diminished-seventh,7,,major-sixth,6,diminished-seventh,7
major-sixth,4 dominant,30,,major-sixth,4,dominant,30
major-sixth,7 suspended-fourth,6,,major-sixth,7,suspended-fourth,6
major-sixth,0 minor-sixth,9,,major-sixth,0,minor-sixth,9
major-sixth,7 dominant,45,,major-sixth,7,dominant,45
major-sixth,0 minor-seventh,7,,major-sixth,0,minor-seventh,7
major-sixth,5 minor-sixth,8,,major-sixth,5,minor-sixth,8
major-sixth,5 major-sixth,7,,major-sixth,5,major-sixth,7
major-sixth,7 dominant-ninth,4,,major-sixth,7,dominant-ninth,4
major-sixth,2 minor-ninth,2,,major-sixth,2,minor-ninth,2
major-sixth,5 major-ninth,1,,major-sixth,5,major-ninth,1
major-sixth,4 minor-seventh,15,,major-sixth,4,minor-seventh,15
major-sixth,6 minor-seventh,13,,major-sixth,6,minor-seventh,13
major-sixth,11 minor-seventh,23,,major-sixth,11,minor-seventh,23
major-sixth,11 dominant-ninth,3,,major-sixth,11,dominant-ninth,3
major-sixth,9 major-seventh,1,,major-sixth,9,major-seventh,1
major-sixth,4 major-seventh,1,,major-sixth,4,major-seventh,1
major-sixth,11 dominant,17,,major-sixth,11,dominant,17
major-sixth,7 dominant-13th,1,,major-sixth,7,dominant-13th,1
major-sixth,1 dominant,6,,major-sixth,1,dominant,6
major-sixth,7 major,1,,major-sixth,7,major,1
major-sixth,0 major,8,,major-sixth,0,major,8
major-sixth,10 major-seventh,1,,major-sixth,10,major-seventh,1
major-sixth,5 dominant,30,,major-sixth,5,dominant,30
major-sixth,0 dominant-ninth,1,,major-sixth,0,dominant-ninth,1
major-sixth,6 diminished,1,,major-sixth,6,diminished,1
major-sixth,0 augmented,17,,major-sixth,0,augmented,17
major-sixth,10 minor-seventh,10,,major-sixth,10,minor-seventh,10
major-sixth,3 dominant-13th,1,,major-sixth,3,dominant-13th,1
major-sixth,8 major,2,,major-sixth,8,major,2
major-sixth,10 major-sixth,9,,major-sixth,10,major-sixth,9
major-sixth,2 major-sixth,5,,major-sixth,2,major-sixth,5
major-sixth,9 major-sixth,1,,major-sixth,9,major-sixth,1
major-sixth,8 dominant,12,,major-sixth,8,dominant,12
major-sixth,5 minor,1,,major-sixth,5,minor,1
major-sixth,5 major-seventh,6,,major-sixth,5,major-seventh,6
major-sixth,6 dominant,1,,major-sixth,6,dominant,1
major-sixth,3 diminished,2,,major-sixth,3,diminished,2
major-sixth,0 diminished-seventh,1,,major-sixth,0,diminished-seventh,1
major-sixth,3 minor-seventh,7,,major-sixth,3,minor-seventh,7
major-sixth,8 minor-seventh,1,,major-sixth,8,minor-seventh,1
major-sixth,1 suspended-fourth,1,,major-sixth,1,suspended-fourth,1
major-sixth,1 major-sixth,6,,major-sixth,1,major-sixth,6
major-sixth,6 major-sixth,1,,major-sixth,6,major-sixth,1
major-sixth,11 major-sixth,1,,major-sixth,11,major-sixth,1
major-sixth,11 major-seventh,3,,major-sixth,11,major-seventh,3
major-sixth,7 diminished-seventh,3,,major-sixth,7,diminished-seventh,3
major-sixth,1 major,1,,major-sixth,1,major,1
dominant-ninth,3 minor-sixth,6,,dominant-ninth,3,minor-sixth,6
dominant-ninth,5 dominant,13,,dominant-ninth,5,dominant,13
